_id,password,yearAd,isScholarship,rollNo,dept,bankAC,classYear,yearPass,sem1,sem2,sem3,sem4,sem5,sem6,sem7,sem8
P123456,sanket ,2015,yes,2024,IT,1234,BE,,70,71,72,73,74,75,76,
P013401,mohit,2013,no,4001,Computer,1234,BE,,60,61,62,63,64,65,66,67
P114302,supriya,2014,yes,3101,IT,4567,TE,,65,66,67,68,69,69,0,0
P215203,arfat,2015,no,2201,EnTC,1478,SE,,70,71,72,73,0,0,0,0
P316104,priyanka,2016,yes,1301,Electrical,7412,FE,,50,51,0,0,0,0,0,0
P413405,swati,2013,no,2401,Mechanical,1478,BE,,70,71,72,68,61,70,72,73
P014306,sumeet,2014,yes,3001,Computer,7463,TE,,65,66,67,68,69,70,0,0
P115207,umesh,2015,yes,1101,IT,6547,SE,,72,73,0,0,0,0,0,0
P914401,Radhika,2011,no,4567,Mechanical,1234,Alumini,2014,60,60,60,60,60,60,60,60
P914402,Samruddhi ,2011,yes,1478,Mechanical,4567,Alumini,2014,65,65,65,65,65,65,65,65
P914403,Reem,2011,no,7412,Mechanical,1478,Alumini,2014,70,70,70,70,70,70,70,70
P914404,Shaunak,2011,yes,1478,Mechanical,7412,Alumini,2014,50,50,50,50,50,50,50,50
P914405,Priyanka,2011,no,7463,Mechanical,1478,Alumini,2014,70,70,70,70,70,70,70,70
P914406,Kunal ,2011,yes,6547,Mechanical,7463,Alumini,2014,65,65,65,65,65,65,65,65
P914407,Sai ,2011,yes,1234,Mechanical,6547,Alumini,2014,72,72,72,72,72,72,72,72
P914408,Nrupaja ,2011,no,4567,Mechanical,1234,Alumini,2014,60,60,60,60,60,60,60,60
P914409,D'souza,2011,yes,1478,Mechanical,4567,Alumini,2014,65,65,65,65,65,65,65,65
P914410,Pereira ,2011,no,7412,Mechanical,1478,Alumini,2014,70,70,70,70,70,70,70,70
P914411,Vrushal,2011,yes,1478,Mechanical,7412,Alumini,2014,50,50,50,50,50,50,50,50
P914412,Siddharth,2011,no,7463,Mechanical,1478,Alumini,2014,70,70,70,70,70,70,70,70
P914413,Nishant ,2011,yes,6547,Mechanical,7463,Alumini,2014,65,65,65,65,65,65,65,65
P914414,Tejas,2011,yes,1234,Mechanical,6547,Alumini,2014,72,72,72,72,72,72,72,72
P914415,Omkar,2011,no,4567,Mechanical,1234,Alumini,2014,60,60,60,60,60,60,60,60
P914416,Kaustubh ,2011,yes,1478,Mechanical,4567,Alumini,2014,65,65,65,65,65,65,65,65
P914417,Heramb ,2011,no,7412,Mechanical,1478,Alumini,2014,70,70,70,70,70,70,70,70
P914418,Sachin ,2011,yes,1478,Mechanical,7412,Alumini,2014,50,50,50,50,50,50,50,50
P914419,Nikhil,2011,no,7463,Mechanical,1478,Alumini,2014,70,70,70,70,70,70,70,70
P914420,Himanshu,2011,yes,6547,Mechanical,7463,Alumini,2014,65,65,65,65,65,65,65,65
P914421,Vivek ,2011,yes,7412,Mechanical,6547,Alumini,2014,72,72,72,72,72,72,72,72
P914422,Akshay ,2011,no,1478,Mechanical,7412,Alumini,2014,60,60,60,60,60,60,60,60
P914423,Siddharth ,2011,yes,7463,Mechanical,1478,Alumini,2014,65,65,65,65,65,65,65,65
P914424,Aniket ,2011,no,6547,Mechanical,7463,Alumini,2014,70,70,70,70,70,70,70,70
