_id,password,fname,mname,lname,mother,state,address,gender,caste,nationality,bloodGroup,emailId,contact,dob,handicap,admcat
P123456,Sanket ,Sanket ,Sandeep,Kunjir,Gauri,Maharashtra,"Akansha II, Lane No 14, Vidyanagar, Pune",male,Open,Indian,AB+,sanket@gmail.com,,11/8/1197,no,Cap
P013401,mohit,Mohit,Santosh,Kunjir,Vasudha,Maharashtra,"101/'A' wing, Graffikon Niwas Co-Op Hous Soc, Plot no: 26, Viman Nagar, Pune",male,Open,Indian,B+,mohitssj10@gmail.com,,3/11/1996,no,Cap
P114302,supriya,Satvashila,Ashok,Bagal,Sadhna,Maharashtra,"At-Post Mangi, Taluka-Karmala, District-Beed, Maharashtra",female,OBC,Indian,AB+,supriya.bagal7@gmail.com,,6/7/1996,yes,Management
P215203,arfat,Arfat,Javed,Sayyed,Quidyassa,Maharashtra,"new Shaehensha Nagar, Beed, Maharashtra",male,SC,Other,O+,sdarfat77@gmail.com,,4/2/1996,no,Cap
P316104,priyanka,Priyanka,Shriganesh,Karad,Vaishali,Maharashtra,"Killa Vibhag, Karamala, Dist-Solapur, Maharashtra",female,NT,Indian,A+,karadpriyanka8@gmail.com,,7/8/1996,yes,Management
P413405,swati,Swati,Raju,Londhe,Kalpana,Maharashtra,"Bibewadi, Pune",female,Open,Indian,B-,swati.lon@gmail.com,,3/1/1997,no,Cap
P014306,sumeet,Sumeet,Suresh,Joshi,Rutuja,Jammu ,"Sangarsh Nagar, Pune",male,OBC,Other,O-,summitjoshi@gmail.com,,9/15/1996,no,Cap
P115207,umesh,Umesh,Raghunath,Pedhe,Mrunali,Maharashtra,2070 Allen St,male,SC,Indian,AB+,umeshpedhe@gmail.com,,6/14/1994,no,Cap
P914401,Radhika,Radhika,Nick,Bhagwat,Utsman,Maharashtra,4884 Scotswolde Blvd,male,Open,India,B+,mohitssj10@gmail.com,,10/9/1994,no,Cap
P914402,Samruddhi ,Samruddhi ,Chuck,Deshpande,Cornetta,Maharashtra,7351 Albright Ave,male,OBC,India,AB+,supriya.bagal7@gmail.com,,9/3/1993,yes,Management
P914403,Reem,Reem,Barrett,Merchant,Zelms,Maharashtra,2740 Senior Rd,female,SC,India,O+,sdarfat77@gmail.com,,12/7/1995,no,Cap
P914404,Shaunak,Shaunak,Raymond,Phatak,Mcbrien,Maharashtra,6998 Peachleaf Blvd,female,NT,India,A+,karadpriyanka8@gmail.com,,6/30/1994,yes,Management
P914405,Priyanka,Priyanka,Gilberto,Bhandare,Kirson,Maharashtra,7356 Albright Blvd,female,Open,India,B-,swati.lon@gmail.com,,9/28/1995,no,Cap
P914406,Kunal ,Kunal ,Joey, Kalkundri,Koebel,Jammu ,4892 Neil Armstrong St,male,Open,India,O-,summitjoshi@gmail.com,,11/1/1995,no,Cap
P914407,Sai ,Sai ,Ervin,Ghodke,Zei,Maharashtra,2298 Curwood Trl,male,SC,India,AB+,umeshpedhe@gmail.com,,12/14/1994,no,Cap
P914408,Nrupaja ,Nrupaja ,Chase,Bhide,Khurana,Maharashtra,10606 Westwood Ln,female,NT,India,B+,supriya.bagal7@gmail.com,,6/22/1997,yes,Management
P914409,D'souza,D'souza,Zachery,D'souza,Radis,Maharashtra,1455 Sylvania Rd,female,SC,India,AB+,sdarfat77@gmail.com,,12/21/1993,no,Cap
P914410,Pereira ,Pereira ,Sonny,Savio,Disarro,Rajasthan,6193 Lake Glen Trl,female,NT,India,O+,karadpriyanka8@gmail.com,,8/10/1994,yes,Management
P914411,Vrushal,Vrushal,Michale, Maniyar,Belinda,Maharashtra,6784 Cromwell Ct,male,SC,India,A+,swati.lon@gmail.com,,10/7/1994,no,Cap
P914412,Siddharth,Siddharth,Nathaniel,Rai,Bulling,Maharashtra,1316 Cielo Blvd,male,NT,India,B+,summitjoshi@gmail.com,,4/1/1993,no,Cap
